The Sun Is Also a Star	2019	5.7	Charles Melton*Yara Shahidi*Keong Sim*Gbenga Akinnagbe
The Matrix	1999	8.7	Keanu Reeves*Laurence Fishburne*Carrie-Anne Moss*Hugo Weaving
Men in Black: International	2019	6.6	Chris Hemsworth*Emma Thompson*Tessa Thompson*Rebecca Ferguson
Deadpool 2	2018	7.8	Ryan Reynolds*Josh Brolin*Morena Baccarin*Julian Dennison
The Predator	2018	5.4	Boyd Holbrook*Trevante Rhodes*Jacob Tremblay*Keegan-Michael Key
Green Book	2018	8.3	Viggo Mortensen*Mahershala Ali*Linda Cardellini*Sebastian Maniscalco
Iron Man	2008	7.9	Robert Downey Jr.*Gwyneth Paltrow*Terrence Howard*Jeff Bridges
Black Panther	2018	7.3	Chadwick Boseman*Michael B. Jordan*Lupita Nyong'o*Danai Gurira
Life Like	2019	5.1	Addison Timlin*James D'Arcy*Steven Strait*Drew Van Acker
Us	2019	7.3	Lupita Nyong'o*Winston Duke*Elisabeth Moss*Tim Heidecker
Maleficent	2014	7.0	Angelina Jolie*Elle Fanning*Sharlto Copley*Lesley Manville
Captain America: Civil War	2016	7.8	Chris Evans*Robert Downey Jr.*Scarlett Johansson*Sebastian Stan
Iron Sky: The Coming Race	2019	5.1	Lara Rossi*Vladimir Burlakov*Kit Dale*Tom Green
Guardians of the Galaxy Vol. 2	2017	7.7	Chris Pratt*Zoe Saldana*Dave Bautista*Vin Diesel
X-Men: Apocalypse	2016	7.0	James McAvoy*Michael Fassbender*Jennifer Lawrence*Nicholas Hoult
Arctic	2018	6.9	Mads Mikkelsen*Maria Thelma Smáradóttir*Tintrinai Thikhasuk
Hellboy	2019	5.4	David Harbour*Milla Jovovich*Ian McShane*Sasha Lane
The Professor and the Madman	2019	7.4	Natalie Dormer*Mel Gibson*Stephen Dillane*Sean Penn
Snowpiercer	2013	7.1	Chris Evans*Jamie Bell*Tilda Swinton*Ed Harris
See You Yesterday	2019	4.9	Eden Duncan-Smith*Dante Crichlow*Astro*Marsha Stephanie Blake
Watchmen	2009	7.6	Jackie Earle Haley*Patrick Wilson*Carla Gugino*Malin Akerman
Escape Room	2019	6.4	Taylor Russell*Logan Miller*Jay Ellis*Tyler Labine
Hereditary	2018	7.3	Toni Collette*Milly Shapiro*Gabriel Byrne*Alex Wolff
The Prodigy	2019	5.9	Taylor Schilling*Jackson Robert Scott*Peter Mooney*Colm Feore
A Star Is Born	2018	7.8	Lady Gaga*Bradley Cooper*Sam Elliott*Greg Grunberg
The Godfather	1972	9.2	Marlon Brando*Al Pacino*James Caan*Diane Keaton
What Men Want	2019	4.8	Taraji P. Henson*Kristen Ledlow*Josh Brener*Kellan Lutz
Ant-Man and the Wasp	2018	7.1	Paul Rudd*Evangeline Lilly*Michael Peña*Walton Goggins
Solo: A Star Wars Story	2018	7.0	Alden Ehrenreich*Woody Harrelson*Emilia Clarke*Donald Glover
UglyDolls	2019	4.5	Kelly Clarkson*Nick Jonas*Janelle Monáe*Blake Shelton
Polaroid	2019	5.1	Kathryn Prescott*Tyler Young*Samantha Logan*Keenan Tracey
The Highwaymen	2019	7.0	Kevin Costner*Woody Harrelson*Kathy Bates*John Carroll Lynch
The Incredible Hulk	2008	6.7	Edward Norton*Liv Tyler*Tim Roth*William Hurt
Serenity	2019	5.3	Matthew McConaughey*Anne Hathaway*Diane Lane*Jason Clarke
Bumblebee	2018	6.9	Hailee Steinfeld*Jorge Lendeborg Jr.*John Cena*Jason Drucker
Breakthrough	2019	5.8	Topher Grace*Josh Lucas*Chrissy Metz*Mike Colter
Iron Man Three	2013	7.2	Robert Downey Jr.*Guy Pearce*Gwyneth Paltrow*Don Cheadle
